Program,Total residents per year,Pass %,,,,,,,,,,,
"Bella Vista Hospital Program Mayaguez, Puerto Rico
1204221620                                                                                                                                                                                                                          2/5/2021",6,96.55%,,,,,,,,,,,
"Kent Hospital Program Warwick, Rhode Island
1204300289                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Memorial Hospital of Rhode Island/Brown University Program Pawtucket, Rhode Island
1204321288                                                                                                                                                                                                                          2/5/2021",13,100.00%,,,,,,,,,,,
"Grand Strand Regional Medical Center Program Myrtle Beach, South Carolina
1204500669                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Tidelands Health Program Myrtle Beach, South Carolina
1204500670                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Palmetto Health Program Sumter, South Carolina
1204500671                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Greenville Health System/University of South Carolina (Greer) Program Greer, South Carolina
1204500672                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Greenville Health System/University of South Carolina (Seneca) Program Seneca, South Carolina
1204500673                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Campbell University (Conway) Program Conway, South Carolina
1204500674                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"McLeod Regional Medical Center (Rural) Program Florence, South Carolina
1204500675                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Medical University of South Carolina College of Medicine Program Charleston, South Carolina
1204500676                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"AnMed Health (Anderson) Program Anderson, South Carolina
1204511289                                                                                                                                                                                                                          2/5/2021",11,98.08%,,,,,,,,,,,
"Prisma Health-Midlands/University of South Carolina School of Medicine-Columbia (Columbia) Program Columbia, South Carolina
1204511291                                                                                                                                                                                                                          2/5/2021",10,100.00%,,,,,,,,,,,
"Prisma Health-Upstate/University of South Carolina School of Medicine Greenville (Greenville) Program Greenville, South Carolina
1204511292                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Spartanburg Regional Healthcare System Program Spartanburg, South Carolina
1204511293                                                                                                                                                                                                                          2/5/2021",12,100.00%,,,,,,,,,,,
"Trident Medical Center/Medical University of South Carolina Program Charleston, South Carolina
1204521290                                                                                                                                                                                                                          2/5/2021",10,100.00%,,,,,,,,,,,
"McLeod Regional Medical Center Program Florence, South Carolina
1204521375                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Self Regional Healthcare/Greenwood Program Greenwood, South Carolina
1204521376                                                                                                                                                                                                                          2/5/2021",10,100.00%,,,,,,,,,,,
"AnMed Health (Anderson) Rural Program Seneca, South Carolina
1204521668                                                                                                                                                                                                                          2/5/2021",2,91.67%,,,,,,,,,,,
"Center for Family Medicine Program Pierre, South Dakota
1204600548                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Center for Family Medicine (Sioux Falls) Program Sioux Falls, South Dakota
1204611294                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"Rapid City Hospital Program Rapid City, South Dakota
1204621547                                                                                                                                                                                                                          2/5/2021",6,96.55%,,,,,,,,,,,
"Resurrection Health Program Memphis, Tennessee
1204700725                                                                                                                                                                                                                          2/5/2021",3,100.00%,,,,,,,,,,,
"UNIVERSITY OF TENNESSEE COLLEGE OF MEDICINE AT MURFREESBORO PROGRAM
Murfreesboro, Tennessee
1204700726                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"Baptist Memorial Hospital Program Memphis, Tennessee
1204700727                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"HCA Healthcare/Tristar Nashville Program Hendersonville, Tennessee
1204700728                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"HCA Healthcare/Tristar Southern Hills Medical Center Program Nashville, Tennessee
1204700729                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"University of Tennessee Medical Center at Knoxville Program Knoxville, Tennessee
1204711298                                                                                                                                                                                                                          2/5/2021",8,97.44%,,,,,,,,,,,
"University of Tennessee (Jackson) Program Jackson, Tennessee
1204721299                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"East Tennessee State University (Johnson City) Program Johnson City, Tennessee
1204721410                                                                                                                                                                                                                          2/5/2021",6,81.82%,,,,,,,,,,,
"University of Tennessee/Saint Francis Program Memphis, Tennessee
1204721453                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Meharry Medical College Program Nashville, Tennessee
1204721463                                                                                                                                                                                                                          2/5/2021",5,92.00%,,,,,,,,,,,
"East Tennessee State University (Bristol) Program Bristol, Tennessee
1204731296                                                                                                                                                                                                                          2/5/2021",8,97.06%,,,,,,,,,,,
"East Tennessee State University (Kingsport) Program Kingsport, Tennessee
1204731297                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"University of Tennessee College of Medicine at Chattanooga Program Chattanooga, Tennessee
1204731584                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Plaza Medical Center of Fort Worth Program Fort Worth, Texas
1204800712                                                                                                                                                                                                                          2/5/2021",5,96.30%,,,,,,,,,,,
"University of Texas RGV (DHR) Program McAllen, Texas
1204800714                                                                                                                                                                                                                          2/5/2021",3,100.00%,,,,,,,,,,,
"DeTar Healthcare System Program Victoria, Texas
1204800715                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"University of Texas Health Science Center at Tyler Pittsburg, Texas
1204800717                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"University of Texas Rio Grande Valley (Knapp) Program Mercedes, Texas
1204800718                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Texas A&M College of Medicine-Scott and White Medical Center (Round Rock) Program Round Rock, Texas
1204800719                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Texoma Medical Center Program Denison, Texas
1204800721                                                                                                                                                                                                                          2/5/2021",2,,,,,,,,,,,,
"Texas Institute for Graduate Medical Education and Research (TIGMER) Program San Antonio, Texas
1204800722                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Texas Institute for Graduate Medical Education and Research (TIGMER)/Laredo Medical Center Program Laredo, Texas
1204800723                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"HCA Gulf Coast Education Consortium Program Houston, Texas
1204800724                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Texas Institute for Graduate Medical Education and Research (TIGMER) Abilene Program Abilene, Texas
1204800725                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"HCA Medical City Arlington Program Arlington, Texas
1204800726                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"University of Texas Health Science Center at Tyler (Athens) Program Athens, Texas
1204800728                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"University of Texas at Austin Dell Medical School Program Austin, Texas
1204811302                                                                                                                                                                                                                          2/5/2021",7,97.06%,,,,,,,,,,,
"Baylor College of Medicine Program Houston, Texas
1204811306                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Texas Tech University Health Sciences Center Paul L. Foster School of Medicine Program El Paso, Texas
1204811309                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"University of Texas RGV (MMC) Program McAllen, Texas
1204811311                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"McLennan County Medical Education and Research Foundation Program Waco, Texas
1204811313                                                                                                                                                                                                                          2/5/2021",12,100.00%,,,,,,,,,,,
"University of Texas Medical Branch Hospitals Program Galveston, Texas
1204821305                                                                                                                                                                                                                          2/5/2021",10,100.00%,,,,,,,,,,,
"Memorial Hermann Hospital System Program Sugar Land, Texas
1204821307                                                                                                                                                                                                                          2/5/2021",14,100.00%,,,,,,,,,,,
"Texas Tech University (Lubbock) Program Lubbock, Texas
1204821310                                                                                                                                                                                                                          2/5/2021",11,100.00%,,,,,,,,,,,
"University of Texas Health Science Center at San Antonio Program San Antonio, Texas
1204821312                                                                                                                                                                                                                          2/5/2021",14,100.00%,,,,,,,,,,,
"University of Texas Southwestern Medical School Program Dallas, Texas
1204821361                                                                                                                                                                                                                          2/5/2021",11,100.00%,,,,,,,,,,,
"Methodist Health System Dallas Program Dallas, Texas
1204821433                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"North Central Texas Medical Foundation Program Wichita Falls, Texas
1204821435                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"Conroe Medical Education Foundation Program Conroe, Texas
1204821454                                                                                                                                                                                                                          2/5/2021",10,100.00%,,,,,,,,,,,
"Texas Tech University (Permian Basin) Program Odessa, Texas
1204821457                                                                                                                                                                                                                          2/5/2021",10,93.75%,,,,,,,,,,,
"University of Texas Health Center at Tyler Program Tyler, Texas
1204821464                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Texas A&M College of Medicine-Scott and White Program Temple, Texas
1204821469                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"University of Texas at Houston Program Houston, Texas
1204821490                                                                                                                                                                                                                          2/5/2021",12,98.28%,,,,,,,,,,,
"Texas Tech University (Amarillo) Program Amarillo, Texas
1204821511                                                                                                                                                                                                                          2/5/2021",9,97.73%,,,,,,,,,,,
"Methodist Hospital (Houston) Program Houston, Texas
1204821565                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"Baylor University Medical Center Program Dallas, Texas
1204821574                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"Valley Baptist Medical Center Program Harlingen, Texas
1204821593                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"Christus Santa Rosa Health Care Program San Antonio, Texas
1204821616                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Darnall Army Medical Center Program Fort Hood, Texas
1204821657                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"Christus Spohn Memorial Hospital Program Corpus Christi, Texas
1204822303                                                                                                                                                                                                                          2/5/2021",12,96.49%,,,,,,,,,,,
"John Peter Smith Hospital (Tarrant County Hospital District) Program Fort Worth, Texas
1204831304                                                                                                                                                                                                                          2/5/2021",21,100.00%,,,,,,,,,,,
"Texas A&M Health Science Center/Bryan-College Station Program Bryan, Texas
1204831605                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"University of Utah Health Salt Lake City, Utah
1204921315                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"McKay-Dee Hospital Center Program Ogden, Utah
1204921495                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"St Mark's Health Care Foundation Program Salt Lake City, Utah
1204921529                                                                                                                                                                                                                          2/5/2021",4,100.00%,,,,,,,,,,,
"Utah Valley Regional Medical Center Program Provo, Utah
1204921583                                                                                                                                                                                                                          2/5/2021",7,97.14%,,,,,,,,,,,
"University of Vermont College of Medicine Milton, Vermont
1205021316                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Bon Secours Richmond Health System (Blackstone Rural) Program Blackstone, Virginia
1205100716                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Sovah Health-Danville Program Danville, Virginia
1205100717                                                                                                                                                                                                                          2/5/2021",2,,,,,,,,,,,,
"Johnston Memorial Hospital Program Abingdon, Virginia
1205100718                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Wellmont Health System - Lonesome Pine Hospital Program Big Stone Gap, Virginia
1205100719                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"VCOM/LGHM GME Consortium Program Blacksburg, Virginia
1205100720                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Lewisgale Medical Center Program Roanoke, Virginia
1205100721                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"University of Virginia Program Charlottesville, Virginia
1205111317                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Virginia Commonwealth University Health System (Chesterfield) Program Richmond, Virginia
1205111320                                                                                                                                                                                                                          2/5/2021",3,100.00%,,,,,,,,,,,
"Inova Fairfax Medical Campus Program Fairfax, Virginia
1205111322                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Carilion Clinic-Virginia Tech Carilion School of Medicine Program Roanoke, Virginia
1205111325                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"National Capital Consortium (Fort Belvoir Community Hospital) Program Fort Belvoir, Virginia
1205112012                                                                                                                                                                                                                          2/5/2021",13,100.00%,,,,,,,,,,,
"Centra Health Program Lynchburg, Virginia
1205121318                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Eastern Virginia Medical School Program Norfolk, Virginia
1205121319                                                                                                                                                                                                                          2/5/2021",8,97.37%,,,,,,,,,,,
"Eastern Virginia Medical School (Portsmouth) Program Portsmouth, Virginia
1205121442                                                                                                                                                                                                                          2/5/2021",6,96.30%,,,,,,,,,,,
"Valley Health System/Medical College of Virginia/Virginia Commonwealth University Program Front Royal, Virginia
1205121627                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"VCU/Riverside Regional Medical Center Program Newport News, Virginia
1205131323                                                                                                                                                                                                                          2/5/2021",12,100.00%,,,,,,,,,,,
"Virginia Commonwealth University-Bon Secours (St. Francis) Program Midlothian, Virginia
1205131683                                                                                                                                                                                                                          2/5/2021",9,100.00%,,,,,,,,,,,
"MultiCare Good Samaritan Hospital Program Puyallup, Washington
1205400711                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Kadlec Regional Medical Center Program Richland, Washington
1205400713                                                                                                                                                                                                                          2/5/2021",3,100.00%,,,,,,,,,,,
"Community Health Care Program Tacoma, Washington
1205400714                                                                                                                                                                                                                          2/5/2021",5,100.00%,,,,,,,,,,,
"St Peter Hospital Program Chehalis, Washington
1205400715                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Sea Mar Community Health Centers Program Marysville, Washington
1205400716                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Swedish Medical Center Rural Program Seattle, Washington
1205400717                                                                                                                                                                                                                          2/5/2021",0,100.00%,,,,,,,,,,,
"Skagit Regional Health Program Mt. Vernon, Washington
1205400720                                                                                                                                                                                                                          2/5/2021",2,,,,,,,,,,,,
"Harrison Medical Center Program Bremerton, Washington
1205400721                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Trios Health Program Kennewick, Washington
1205400722                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"University of Washington School of Medicine Rural Program Seattle, Washington
1205400723                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Yakima Valley Farm Workers Clinic Program Grandview, Washington
1205400724                                                                                                                                                                                                                          2/5/2021",1,,,,,,,,,,,,
"Puyallup Tribal Health Authority Program Tacoma, Washington
1205400725                                                                                                                                                                                                                          2/5/2021",1,,,,,,,,,,,,
"St. Peter Hospital (Elma) Program Elma, Washington
1205400727                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Madigan Healthcare System Program Tacoma, Washington
1205421013                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Kaiser Permanente Washington Program Seattle, Washington
1205421327                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Swedish Medical Center/Cherry Hill Program Seattle, Washington
1205421328                                                                                                                                                                                                                          2/5/2021",12,100.00%,,,,,,,,,,,
"Providence Sacred Heart Medical Center/University of Washington School of Medicine Program Spokane, Washington
1205421330                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Valley Medical Center Program Renton, Washington
1205421470                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Naval Hospital (Bremerton) Program Bremerton, Washington
1205421494                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"St Peter Hospital Program Olympia, Washington
1205421497                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Community Health of Central Washington Program Yakima, Washington
1205421522                                                                                                                                                                                                                          2/5/2021",10,95.65%,,,,,,,,,,,
"PeaceHealth Southwest Medical Center Program Vancouver, Washington
1205421546                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Providence Sacred Heart Medical Center/University of Washington School of Medicine (Rural) Program Spokane, Washington
1205421552                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Swedish Medical Center (First Hill) Program Seattle, Washington
1205431326                                                                                                                                                                                                                          2/5/2021",11,100.00%,,,,,,,,,,,
"University of Washington Program Seattle, Washington
1205431329                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Multicare Medical Center Program Tacoma, Washington
1205431331                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Mountain State Osteopathic Postdoctoral Training Institutions, Inc. (MSOPTI) (Greenbrier Valley Medical Center) Program Ronceverte, West Virginia
1205500570                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Mountain State Osteopathic Postdoctoral Training Institutions (MSOPTI)/Access Health Teaching Health Center Program Beckley, West Virginia
1205500571                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Mountain State Osteopathic Postdoctoral Training Institutions (MSOPTI)/Bluefield Regional Medical Center Program Bluefield, West Virginia
1205500572                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"West Virginia University Program Morgantown, West Virginia
1205511336                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Charleston Area Medical Center/West Virginia University (Charleston Division) Program Charleston, West Virginia
1205511337                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"Marshall University School of Medicine Program Huntington, West Virginia
1205521335                                                                                                                                                                                                                          2/5/2021",8,97.06%,,,,,,,,,,,
"West Virginia University Rural Program Harpers Ferry, West Virginia
1205521569                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
"United Hospital Center Program Bridgeport, West Virginia
1205522334                                                                                                                                                                                                                          2/5/2021",7,100.00%,,,,,,,,,,,
"Wheeling Hospital Program Wheeling, West Virginia
1205522338                                                                                                                                                                                                                          2/5/2021",8,100.00%,,,,,,,,,,,
"Gundersen Lutheran Medical Foundation Program La Crosse, Wisconsin
1205600671                                                                                                                                                                                                                          2/5/2021",2,100.00%,,,,,,,,,,,
"Mayo Clinic College of Medicine Program Eau Claire, Wisconsin
1205600674                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Aurora Health Care Program Elkhorn, Wisconsin
1205600675                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"Medical College of Wisconsin Affiliated Hospitals (Froedtert Menomonee Falls) Program Menomonee Falls, Wisconsin
1205600676                                                                                                                                                                                                                          2/5/2021",1,100.00%,,,,,,,,,,,
"University of Illinois College of Medicine at Rockford/Monroe Clinic-Rural Program Monroe, Wisconsin
1205600677                                                                                                                                                                                                                          2/5/2021",2,,,,,,,,,,,,
"Still OPTI/MCW-Prevea Program Green Bay, Wisconsin
1205600678                                                                                                                                                                                                                          2/5/2021",0,,,,,,,,,,,,
"Mayo Clinic Health System-Franciscan Healthcare Program La Crosse, Wisconsin
1205611339                                                                                                                                                                                                                          2/5/2021",6,100.00%,,,,,,,,,,,
