,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Intro,Year 1,Year 2,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 1,Participant 2,Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Participant 3,Participant 4,Participant 5,Participant 6,Participant 7,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,,Year 4,Year 5,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Night float system (Residents participate during first year),Participant 8,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Participant 9,Specialty Details,1,15,2,3,Yes
0,https://freida.ama-assn.org/program/2755500001,Community-based,Greenbrier Valley Medical Center,3,3,Yes,Yes,June,Yes,No,http://msopti.wvsom.edu/,Not Available,"Charles S McClung
DO
West Virginia Sch of Osteopathic Med
Osteopathic Neuromusculoskeletal Medicine Pgm
400 Lee St N
Lewisburg, WV 24901
Tel: (304) 647-6520
Fax: (304) 793-6561
E-mail: cmcclung@osteo.wvsom.edu","Nicole  Massey
BA
Greenbrier Valley Med Ctr
Osteopathic Neuromusculoskeletal Medicine Pgm
1320 Maplewood Ave
Ronceverte, WV 24970
Tel: (304) 647-6530
Fax: (304) 793-4560
E-mail: nicole.massey@gvmc.com",2755500001,"West Virginia Sch of Osteopathic Med, Osteopathic Neuromusculoskeletal Medicine Pgm, 400 Lee St N, Lewisburg, WV 24901","400 N Lee St, Lewisburg, WV 24901","1320 Maplewood Ave, Ronceverte, WV 24970",,3,3,No,No,No,"Yes , Codes: 2105275A0",2/28/2021,9/1/2020 - 2/28/2021_7/1/2021 - 2/28/2022,7/1/2021,1/1/2022,Yes,20,No,No,3,Yes,Yes,194_209_400_400,Yes,No Answer,Yes,Yes,No Answer,"Desired, with some exceptions",No,No,No,19,4,0,0,19,4,42.1,2.1 to 1,50,12,2,Yes,No,Other for 2 week(s),0,N/A,0,N/A,Not Available,6,NGO,N/A,"$55,414.00",20,Not Available,"$57,989.00",20,Not Available,No,20,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Fully Paid by Institution,Resident Shares Cost,"Available, Not Paid By Institution","Available, Not Paid By Institution","Available, Not Paid By Institution","Available, Not Paid By Institution","Available, Not Paid By Institution","Available, Not Paid By Institution","Available, Not Paid By Institution",More than 30 days of starting program,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Required,Yes,Yes,Yes,"200 Veterans Ave, Beckley, WV 25801","400 N Jefferson St, Lewisburg, WV 24901",3,,,,,,,,,"$51,397.00",20,Not Available,(4 wks ),,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2800121010,University-based,University of Alabama Hospital,5,5,No,Yes,"June,July",Yes,No,http://www.uab.edu/medicine/otolaryngology/,Not Available,"Benjamin  Greene
MD
Univ of Alabama Med Ctr
FOT 1155
1720 2nd Ave S
Birmingham, AL 35294-3412
Tel: (205) 801-7999
Fax: (205) 801-7802
E-mail: bgreene@uabmc.edu","Michelle  Thrasher
Univ of Alabama Med Ctr
FOT 1155
1720 2nd Ave S
Birmingham, AL 35294-3412
Tel: (205) 801-7999
Fax: (205) 801-7802
E-mail: michellethrasher@uabmc.edu",2800121010,"Univ of Alabama Med Ctr, FOT 1155, 1720 2nd Ave S, Birmingham, AL 35294-3412","619 19th St S, Birmingham, AL 35249-6505","1600 7th Ave S, Birmingham, AL 35233","Operative experience: chiefs routinely finish with well over 3000 cases. PGY3-5: book or instrument allowance of $300 per year. Support to attend meetings/courses and chief meeting or Osler course. Headlamp, scissors, Academy membership, study aids. 3 month dedicated research rotation. Exclusive Otolaryngology residents resource center/lounge with eight computer stations.",4,4,No,No,"Yes , Codes: 1007280C0",No,11/1/2020,11/1/2020 - 2/1/2021_11/1/2021 - 2/1/2022,9/15/2021,11/1/2021,Yes,60,No,No,3,No,Yes,220___,No,Greater than 245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Not required,Yes,No,No,23,1,1,0,24,1,30.4,1.1 to 1,68,16,1,Yes,No,Other for 12 month(s),NGO,Every fourth night for 12 month(s),NGO,Every seventh night for 12 month(s),NGO,2,50%,N/A,"$55,992.00",21,21,"$57,506.00",21,21,Yes,NGO,Not Available,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Required,Yes,Yes,Yes,"700 S 19th St, Birmingham, AL 35233","1720 University Blvd, Birmingham, AL 35233",4,"$59,941.00",21,21,,,,,,"$54,214.00",21,21,(12 wks ),4,4,100,0,0,40.8,59.1,Every seventh night for 12 month(s),NGO,Every seventh night for 12 month(s),NGO,"$62,154.00",21,21,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2800421012,,,5,5,No,Yes,July,Yes,No,http://www.otolaryngology.uams.edu,Not Available,"Abby R Nolder
MD
Univ of Arkansas for Med Sciences
Slot 543
4301 W Markham St
Little Rock, AR 72205
Tel:
Fax:
E-mail: nolderabbyr@uams.edu","Stacey M Thompson
Univ of Arkansas for Med Sciences
Slot 543
4301 W Markham St
Little Rock, AR 72205
Tel: (501) 603-1214
Fax: (501) 686-8029
E-mail: smthompson@uams.edu",2800421012,"Univ of Arkansas for Med Sciences, Slot 543, 4301 W Markham St, Little Rock, AR 72205","4301 W Markham St, Little Rock, AR 72205-7249","4301 W Markham St, Little Rock, AR 72205",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"800 Marshall St, Little Rock, AR 72202-3591","4300 W 7th St, Little Rock, AR 72205-5484",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2800331134,Community-based university affiliated,Mayo Clinic Hospital (Arizona),5,5,No,Yes,"June,July,August,Negotiable",Yes,No,http://www.mayo.edu/mayo-clinic-school-of-graduate-medical-education/,Not Available,"Thomas  Nagel
MD
Mayo Clinic Arizona
Dept of Otolaryngology
5777 E Mayo Blvd
Phoenix, AZ 85054
Tel:
Fax:
E-mail: nagel.thomas@mayo.edu","Evangelina  Rangel
Mayo Clinic Arizona
Dept of Otolaryngology
5777 E Mayo Blvd
Phoenix, AZ 85054
Tel: (480) 342-2812
Fax: (480) 342-3804
E-mail: rangel.evangelina@mayo.edu",2800331134,"Mayo Clinic Arizona, Dept of Otolaryngology, 5777 E Mayo Blvd, Phoenix, AZ 85054","200 First St SW, Rochester, MN 55905","5777 E Mayo Blvd, Phoenix, AZ 85054",We are a department that covers the breadth of otolaryngology with fellowship trained faculty in every sub-specialty. We model our practice after the Mayo Clinic core values.,2,2,No,No,"Yes , Codes: 3200280C0",No,10/15/2020,1/1/2021 - 1/29/2021_1/3/2022 - 1/31/2022,9/15/2021,10/15/2021,Yes,31,No,No,3,No,Yes,240___,No,236-245,"No, require USMLE scores for all applicants",No Answer,No Answer,Required,Yes,Yes,Yes,19,0,0,0,19,0,26.3,1.9 to 1,65,16,1.6,No,No,N/A,20,N/A,40,N/A,40,3,45%,N/A,"$59,662.00",15,91,"$62,130.00",15,91,Yes,84,NGO,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Required,Yes,Yes,Yes,"350 W Thomas Rd, Phoenix, AZ 85013-6604","2601 E Roosevelt St, Phoenix, AZ 85008",2,"$64,728.00",15,91,"1919 E Thomas Rd, Phoenix, AZ 85016","13400 E Shea Blvd, Scottsdale, AZ 85259","333 E Virginia Ave, Phoenix, AZ 85004","7102 E Acoma Dr, Scottsdale, AZ 85254",,"$57,653.00",15,91,(12 wks ),2,2,93.3,6.6,0,30,70,N/A,40,N/A,40,"$67,521.00",15,91,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2800300142,University-based,Banner-University Medical Center Tucson,5,5,Yes,Yes,July,Yes,No,http://otolaryngology.medicine.arizona.edu/,Not Available,"Audrey  Erman
MD
Univ of Arizona Coll of Med-Tucson
PO Box 245074
1501 N Campbell Ave
Tucson, AZ 85724
Tel: (520) 626-6673
Fax: (520) 626-6995
E-mail: sromo@oto.arizona.edu","Sonia  Romo
MA
Univ of Arizona Coll of Med-Tucson
PO Box 245074
1501 N Campbell Ave
Tucson, AZ 85724
Tel: (520) 626-5754
Fax: (520) 626-6995
E-mail: sromo@oto.arizona.edu",2800300142,"Univ of Arizona Coll of Med-Tucson, PO Box 245074, 1501 N Campbell Ave, Tucson, AZ 85724","1501 N Campbell Ave, Tucson, AZ 85724-5085","1501 N Campbell Ave, Tucson, AZ 85724",,1,1,No,No,Yes,No,,-_-,,,No,30,No,No,3,No,Yes,___,No,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",No,No,No,14,0,0,0,14,0,28.5,2.8 to 1,Not Available,Not Available,Not Available,No,,N/A,NGO,N/A,NGO,N/A,NGO,4,30%,30%,"$60,721.00",28,Not Available,"$63,888.00",28,Not Available,No answer,NGO,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Not Available,When resident/fellow starts program,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Required,No,No,Yes,"3601 S 6th Ave, Tucson, AZ 85723","6567 E Carondelet Dr, Tucson, AZ 85710",1,"$66,461.00",28,Not Available,,,,,,"$58,246.00",28,Not Available,(12 wks ),1,1,100,0,0,20,80,N/A,NGO,N/A,NGO,"$70,105.00",28,Not Available,Yes,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2800521117,,,5,5,Yes,Yes,June,Yes,No,,Not Available,"Christopher  Church
MD
Loma Linda Univ Med Ctr
Rm 2586A
11234 Anderson St
Loma Linda, CA 92354
Tel: (909) 558-8558
Fax: (909) 558-4819
E-mail: cchurch@llu.edu","Cynthia L Greber
Loma Linda Univ Med Ctr
Rm 2586A
11234 Anderson St
Loma Linda, CA 92354
Tel: (909) 558-8558
Fax: (909) 558-4819
E-mail: cgreber@llu.edu",2800521117,"Loma Linda Univ Med Ctr, Rm 2586A, 11234 Anderson St, Loma Linda, CA 92354","11234 Anderson St, Loma Linda, CA 92354","11234 Anderson St, Loma Linda, CA 92354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26520 Cactus Ave, Moreno Valley, CA 92555","11201 Benton St, Loma Linda, CA 92357-1111",,,,,"11234 Anderson St, Loma Linda, CA 92354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2800500118,,,5,5,No,Yes,July,Yes,No,https://www.cedars-sinai.org/education/graduate-medical/residency.html,Not Available,"Franklin L Rimell
MD, MSc
Cedars-Sinai Med Ctr
Ste 590W
8635 W Third St
Los Angeles, CA 90048
Tel: (612) 916-9306
Fax:
E-mail: franklin.rimell@cshs.org","Elissa K Rosenberg
BA
Cedars-Sinai Med Ctr
Ste 590W
8635 W Third St
Los Angeles, CA 90048
Tel: (310) 423-9956
Fax:
E-mail: rosenberge@cshs.org",2800500118,"Cedars-Sinai Med Ctr, Ste 590W, 8635 W Third St, Los Angeles, CA 90048","8700 Beverly Blvd, Los Angeles, CA 90048-1869","3020 Children's Way, San Diego, CA 92123-4282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11301 Wilshire Blvd, Los Angeles, CA 90073-2128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2800521015,University-based,LAC+USC Medical Center,5,5,No,Yes,June,Yes,No,http://keck.usc.edu/otolaryngology/training-education/residency-program/,Not Available,"Niels  Kokot
MD
LAC+USC Med Ctr
Dept of Otolaryngology Ste 204
1540 Alcazar St
Los Angeles, CA 90033
Tel: (323) 442-7447
Fax: (323) 442-2059
E-mail: niels.kokot@med.usc.edu","Kimberley  Schultz
LAC+USC Med Ctr
Ste 204
1540 Alcazar St
Los Angeles, CA 90033
Tel: (323) 442-4830
Fax: (323) 865-9640
E-mail: schultzk@usc.edu",2800521015,"LAC+USC Med Ctr, Dept of Otolaryngology Ste 204, 1540 Alcazar St, Los Angeles, CA 90033","1200 N State St, Los Angeles, CA 90033-1084","1200 N State St, Los Angeles, CA 90033-1084",,4,4,No,No,"Yes , Codes: 1033280C0",No,10/16/2020,12/1/2020 - 1/31/2021_12/1/2021 - 1/31/2022,9/1/2021,10/15/2021,Yes,40,No,No,3,No,Yes,___,No,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Not known,Yes,Yes,Yes,17,10,0,2,17,12,41.1,0.8 to 1,78,16,2,Yes,No,N/A,NGO,N/A,NGO,N/A,NGO,10,40%,N/A,"$61,728.00",20,8,"$66,884.00",20,8,No answer,NGO,84,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Not Available,More than 30 days of starting program,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Required,No,No,No,"4650 Sunset Blvd, Los Angeles, CA 90027-5693","1500 San Pablo St, Los Angeles, CA 90033",4,"$72,074.00",20,8,,,,,,"$56,831.00",20,8,(12 wks ),4,4,91.9,8,0,50.7,49.2,N/A,NGO,N/A,NGO,"$77,126.00",20,8,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2800521017,,,5,5,No,Yes,June,Yes,No,https://www.uclahealth.org/head-neck-surgery/,Not Available,"Michael A Holliday
MD
UCLA Med Ctr
CHS 62-129
10833 Le Conte Ave
Los Angeles, CA 90095
Tel: (310) 825-4949
Fax: (310) 206-1393
E-mail: maholliday@mednet.ucla.edu","Nicole  Santos
UCLA Med Ctr
CHS 62-129
10833 Le Conte Ave
Los Angeles, CA 90095-1624
Tel: (310) 794-8492
Fax: (310) 206-7186
E-mail: hnmeded@mednet.ucla.edu",2800521017,"UCLA Med Ctr, CHS 62-129, 10833 Le Conte Ave, Los Angeles, CA 90095","10833 Le Conte Ave, Los Angeles, CA 90024","757 Westwood Plaza, Los Angeles, CA 90095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14445 Olive View Dr, Sylmar, CA 91342-1495","4650 Sunset Blvd, Los Angeles, CA 90027-5693",,,,,"1000 W Carson St, Torrance, CA 90509-7360","1250 16th St, Santa Monica, CA 90404","11301 Wilshire Blvd, Los Angeles, CA 90073-2128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2800522020,Community-based university affiliated,Kaiser Permanente Oakland Medical Center,5,5,No,Yes,June,Yes,No,http://residency-ncal.kp.org,Not Available,"Megan  Durr
MD
Kaiser Permanente Oakland Med Ctr
Dept of Head and Neck Surgery
275 W MacArthur Blvd
Oakland, CA 94611
Tel: (510) 752-1190
Fax:
E-mail: megan.durr@kp.org","Antoinette  Niblett
Kaiser Permanente Oakland Med Ctr
Graduate Med Education Ste 43
3600 Broadway
Oakland, CA 94611
Tel: (510) 752-1935
Fax: (510) 752-1571
E-mail: antoinette.m.niblett@kp.org",2800522020,"Kaiser Permanente Oakland Med Ctr, Dept of Head and Neck Surgery, 275 W MacArthur Blvd, Oakland, CA 94611","1800 Harrison St, Oakland, CA 94612-2298","280 W MacArthur Blvd, Oakland, CA 94611-5693",,2,2,No,No,"Yes , Codes: 1042280C0",No,10/25/2020,12/9/2020 - 1/26/2021_11/17/2021 - 1/26/2022,9/1/2021,10/26/2021,Yes,42,No,No,3,No,Yes,230_220__,Yes,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Not known,Yes,Yes,No,27,19,0,0,27,19,25.9,2.7 to 1,60,16,1,Yes,No,Other for week(s),17,Every third night for 5 month(s),17,Every third night for 4 month(s),17,8,80%,N/A,"$72,747.00",15,NGO,"$77,372.00",15,NGO,Yes,NGO,NGO,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Within 30 days of starting program,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Required,No,No,Yes,"2425 Geary Blvd, San Francisco, CA 94115-3395","1411 E 31st St, Oakland, CA 94602-2180",2,"$81,895.00",15,NGO,"1150 Veterans Blvd, Redwood City, CA 94063-1994","27400 Hesperian Blvd, Hayward, CA 94545","2500 Merced St, San Leandro, CA 94577",,,"$69,047.00",15,NGO,(16 wks ),2,2,100,0,0,33.3,66.6,Every third night for 7 month(s),17,Every third night for 8 month(s),17,"$88,603.00",15,NGO,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2800521014,University-based,University of California (Irvine) Medical Center,5,5,Yes,Yes,"June,July",Yes,No,http://www.ent.uci.edu/residents/index.asp,Not Available,"Tjoson  Tjoa
MD
UC Irvine Med Ctr
ZOT 5386
101 The City Dr S
Orange, CA 92868
Tel: (714) 456-5853
Fax: (714) 456-5747
E-mail: tjoat@uci.edu","Sun  Ito
UC Irvine Med Ctr
ZOT 5386
101 The City Dr S
Orange, CA 92868
Tel: (714) 456-5853
Fax: (714) 456-5747
E-mail: slito@uci.edu",2800521014,"UC Irvine Med Ctr, ZOT 5386, 101 The City Dr S, Orange, CA 92868","200 E Manchester St, Orange, CA 92868","5901 E 7th St, Long Beach, CA 90822-5201",,3,2,No,No,"Yes , Codes: 1043280C0",No,,-_-,,,Yes,36,No,No,3,No,Yes,___,No,Greater than 245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,16,2,2,0,18,2,12.5,1.3 to 1,70,28,1,No,No,N/A,0,Once per week for 3 month(s),13,N/A,13,3,33%,0%,"$59,130.00",20,8,"$61,453.00",20,8,No,NGO,NGO,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Required,Yes,Yes,No,"455 S Main St, Orange, CA 92868","441 Lakeview Ave, Anaheim, CA 92807",3,"$63,879.00",20,8,,,,,,"$57,233.00",20,8,(12 wks ),2,3,94.8,5.1,0,23,76.9,N/A,13,N/A,13,"$66,493.00",20,8,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2800521013,University-based,University of California Davis Health,5,5,Yes,Yes,June,Yes,No,http://www.ucdmc.ucdavis.edu/otolaryngology,Not Available,"Rodney C Diaz
MD
UC Davis Med Ctr
Dept of Otolaryngology Ste 7200
2521 Stockton Blvd
Sacramento, CA 95817
Tel: (916) 734-5005
Fax: (916) 703-5011
E-mail: lyeeisbell@ucdavis.edu","Lisa  Yee-Isbell
BS
UC Davis Med Ctr
Dept of Otolaryngology Ste 7200
2521 Stockton Blvd
Sacramento, CA 95817
Tel: (916) 734-5005
Fax: (916) 703-5011
E-mail: lyeeisbell@ucdavis.edu",2800521013,"UC Davis Med Ctr, Dept of Otolaryngology Ste 7200, 2521 Stockton Blvd, Sacramento, CA 95817","2315 Stockton Blvd, Sacramento, CA 95817","2315 Stockton Blvd, Sacramento, CA 95817",,3,3,No,No,"Yes , Codes: 1046280C0",No,,-_-,,,Yes,50,No,No,3,No,Yes,___,No,No Answer,No Answer,No Answer,No Answer,Not known,Yes,No,No,17,1,0,0,17,1,23.5,1.1 to 1,70,30,2,No,No,Two times per week for 52 week(s),0,Two times per week for 52 week(s),0,Two times per week for 52 week(s),0,4,50%,N/A,"$59,130.00",20,10,"$61,453.00",20,10,No answer,24,NGO,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Required,No,No,No,"6600 Bruceville Rd, Sacramento, CA 95823-2246","10535 Hospital Way, Mather, CA 95655",3,"$63,878.00",20,10,,,,,,"$57,233.00",20,10,NGO (wks),3,3,100,0,0,35.5,64.4,N/A,NGO,N/A,NGO,"$66,492.00",20,10,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2800521021,,,5,5,No,Yes,"June,July",Yes,No,http://medschool.ucsd.edu/OtolaryngologyResidency,Not Available,"Deborah  Watson
MD
UCSD Med Ctr
MC #8895
200 W Arbor Dr
San Diego, CA 92103
Tel: (858) 642-3405
Fax: (858) 552-7466
E-mail: debwatson@ucsd.edu","Norissa  Gastelum
BA
UCSD Med Ctr
MC #8895
200 W Arbor Dr
San Diego, CA 92103
Tel: (619) 543-1967
Fax:
E-mail: nagastelum@ucsd.edu",2800521021,"UCSD Med Ctr, MC #8895, 200 W Arbor Dr, San Diego, CA 92103","200 W Arbor Dr, San Diego, CA 92103-2180","10666 N Torrey Pines Rd, La Jolla, CA 92037-1093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3020 Children's Way, San Diego, CA 92123-4282","3350 La Jolla Village Dr, San Diego, CA 92161-4223",,,,,"4647 Zion Ave, San Diego, CA 92120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
